Country,Stock,Year,D1
Argentina,BANCO DE VALORES (~U$),2010,0.7167062630616432
Argentina,BANCO DE VALORES (~U$),2011,0.9965313165363684
Argentina,BANCO DE VALORES (~U$),2012,0.9762532937149244
Argentina,BANCO DE VALORES (~U$),2013,0.1734619808948737
Argentina,BANCO DE VALORES (~U$),2014,0.733202846729885
Argentina,BANCO DE VALORES (~U$),2015,0.2730893970323041
Argentina,BANCO DE VALORES (~U$),2016,0.9932417893551064
Argentina,BANCO DE VALORES (~U$),2017,0.0510741787691777
Argentina,BANCO DE VALORES (~U$),2018,0.125295181929526
Argentina,BANCO DE VALORES (~U$),2019,0.0779548462692968
Argentina,BANCO DE VALORES (~U$),2020,0.1118528161130193
Argentina,BANCO DE VALORES (~U$),2021,0.2338696237368588
Argentina,BANCO DE VALORES (~U$),2022,0.1095620943789881
Argentina,BANCO HIPOTECARIO D (~U$),2001,0.5383755130591757
Argentina,BANCO HIPOTECARIO D (~U$),2002,0.9901571731093978
Argentina,BANCO HIPOTECARIO D (~U$),2003,0.1852784351588543
Argentina,BANCO HIPOTECARIO D (~U$),2004,0.3540834409276192
Argentina,BANCO HIPOTECARIO D (~U$),2005,0.2465675496134621
Argentina,BANCO HIPOTECARIO D (~U$),2006,0.5895100173111565
Argentina,BANCO HIPOTECARIO D (~U$),2007,0.0303149614394069
Argentina,BANCO HIPOTECARIO D (~U$),2008,0.0403104204383633
Argentina,BANCO HIPOTECARIO D (~U$),2009,0.3688163594781684
Argentina,BANCO HIPOTECARIO D (~U$),2010,0.0457747501654746
Argentina,BANCO HIPOTECARIO D (~U$),2011,0.0821444014314914
Argentina,BANCO HIPOTECARIO D (~U$),2012,0.1170563680452738
Argentina,BANCO HIPOTECARIO D (~U$),2013,0.0120036827062672
Argentina,BANCO HIPOTECARIO D (~U$),2014,0.1059378393358876
Argentina,BANCO HIPOTECARIO D (~U$),2015,0.0674953816742556
Argentina,BANCO HIPOTECARIO D (~U$),2016,0.1135254957932176
Argentina,BANCO HIPOTECARIO D (~U$),2017,0.0741182555965535
Argentina,BANCO HIPOTECARIO D (~U$),2018,0.1271850517151929
Argentina,BANCO HIPOTECARIO D (~U$),2019,0.0415069362930357
Argentina,BANCO HIPOTECARIO D (~U$),2020,0.3392410075551565
Argentina,BANCO HIPOTECARIO D (~U$),2021,0.0827795971774651
Argentina,BANCO HIPOTECARIO D (~U$),2022,0.1161354819694117
Argentina,BANCO MACRO BANSUD 'B' (~U$),2001,0.3214828544849994
Argentina,BANCO MACRO BANSUD 'B' (~U$),2002,0.3707495201739298
Argentina,BANCO MACRO BANSUD 'B' (~U$),2003,0.0053283220929829
Argentina,BANCO MACRO BANSUD 'B' (~U$),2004,0.0682016135722339
Argentina,BANCO MACRO BANSUD 'B' (~U$),2005,0.0803176190179636
Argentina,BANCO MACRO BANSUD 'B' (~U$),2006,0.1234218712964388
Argentina,BANCO MACRO BANSUD 'B' (~U$),2007,0.0437983968149848
Argentina,BANCO MACRO BANSUD 'B' (~U$),2008,0.0960118272538226
Argentina,BANCO MACRO BANSUD 'B' (~U$),2009,0.2200432862556484
Argentina,BANCO MACRO BANSUD 'B' (~U$),2010,0.2289794665631688
Argentina,BANCO MACRO BANSUD 'B' (~U$),2011,0.0567841832744343
Argentina,BANCO MACRO BANSUD 'B' (~U$),2012,0.1001063687912952
Argentina,BANCO MACRO BANSUD 'B' (~U$),2013,0.0255611327259801
Argentina,BANCO MACRO BANSUD 'B' (~U$),2014,0.0556739218954307
Argentina,BANCO MACRO BANSUD 'B' (~U$),2015,0.0517454333099265
Argentina,BANCO MACRO BANSUD 'B' (~U$),2016,0.0689367520767056
Argentina,BANCO MACRO BANSUD 'B' (~U$),2017,0.068571641931767
Argentina,BANCO MACRO BANSUD 'B' (~U$),2018,0.0105477208792856
Argentina,BANCO MACRO BANSUD 'B' (~U$),2019,0.0352460287315113
Argentina,BANCO MACRO BANSUD 'B' (~U$),2020,0.0192026502776743
Argentina,BANCO MACRO BANSUD 'B' (~U$),2021,0.013876145583577
Argentina,BANCO MACRO BANSUD 'B' (~U$),2022,0.0336959595215542
Argentina,BANCO PATAGONIA 'B' (~U$),2008,0.0674784406584801
Argentina,BANCO PATAGONIA 'B' (~U$),2009,0.3498851409445936
Argentina,BANCO PATAGONIA 'B' (~U$),2010,0.3173096305978227
Argentina,BANCO PATAGONIA 'B' (~U$),2011,0.6323455826148356
Argentina,BANCO PATAGONIA 'B' (~U$),2012,0.2675700083457804
Argentina,BANCO PATAGONIA 'B' (~U$),2013,0.0587931665648038
Argentina,BANCO PATAGONIA 'B' (~U$),2014,0.0450421214289897
Argentina,BANCO PATAGONIA 'B' (~U$),2015,0.0710624988837889
Argentina,BANCO PATAGONIA 'B' (~U$),2016,0.4847788978048781
Argentina,BANCO PATAGONIA 'B' (~U$),2017,0.011398082424885
Argentina,BANCO PATAGONIA 'B' (~U$),2018,0.0324706083928132
Argentina,BANCO PATAGONIA 'B' (~U$),2019,0.1478592142844098
Argentina,BANCO PATAGONIA 'B' (~U$),2020,0.0405105751546632
Argentina,BANCO PATAGONIA 'B' (~U$),2021,0.077249252726584
Argentina,BANCO PATAGONIA 'B' (~U$),2022,0.1173589637091856
Argentina,BBVA BANCO FRANCES (~U$),2001,0.2471223593597419
Argentina,BBVA BANCO FRANCES (~U$),2002,0.0426933517470921
Argentina,BBVA BANCO FRANCES (~U$),2003,0.014743119644327
Argentina,BBVA BANCO FRANCES (~U$),2004,0.0050961899735681
Argentina,BBVA BANCO FRANCES (~U$),2005,0.0607644709625043
Argentina,BBVA BANCO FRANCES (~U$),2006,0.0688227256203384
Argentina,BBVA BANCO FRANCES (~U$),2007,0.0985406030703759
Argentina,BBVA BANCO FRANCES (~U$),2008,0.0193881534076478
Argentina,BBVA BANCO FRANCES (~U$),2009,0.1128038262384347
Argentina,BBVA BANCO FRANCES (~U$),2010,0.0841676020355945
Argentina,BBVA BANCO FRANCES (~U$),2011,0.1037614314675881
Argentina,BBVA BANCO FRANCES (~U$),2012,0.0303853630029919
Argentina,BBVA BANCO FRANCES (~U$),2013,0.1662596373403667
Argentina,BBVA BANCO FRANCES (~U$),2014,0.0374915665145038
Argentina,BBVA BANCO FRANCES (~U$),2015,0.0465949717786913
Argentina,BBVA BANCO FRANCES (~U$),2016,0.073063541911876
Argentina,BBVA BANCO FRANCES (~U$),2017,0.012238270467531
Argentina,BBVA BANCO FRANCES (~U$),2018,0.0343348225631039
Argentina,BBVA BANCO FRANCES (~U$),2019,0.0156234589607596
Argentina,BBVA BANCO FRANCES (~U$),2020,0.0056311450046887
Argentina,BBVA BANCO FRANCES (~U$),2021,0.0572706041944803
Argentina,BBVA BANCO FRANCES (~U$),2022,0.0067926333570589
Argentina,BIOCERES CROP SOLUTIONS CEDEAR (~U$),2021,0.9811765319675376
Argentina,BIOCERES CROP SOLUTIONS CEDEAR (~U$),2022,0.2327532885300265
Argentina,BOLDT (~U$),2001,0.7819067144495864
Argentina,BOLDT (~U$),2002,
Argentina,BOLDT (~U$),2004,
Argentina,BOLDT (~U$),2005,
Argentina,BOLDT (~U$),2006,0.9844090809455092
Argentina,BOLDT (~U$),2007,0.3753210940160266
Argentina,BOLDT (~U$),2008,0.8002579560667025
Argentina,BOLDT (~U$),2009,0.9249325598214316
Argentina,BOLDT (~U$),2010,0.3470224733265739
Argentina,BOLDT (~U$),2011,0.2261711627173394
Argentina,BOLDT (~U$),2012,0.6876538360917994
Argentina,BOLDT (~U$),2013,0.6263896614108415
Argentina,BOLDT (~U$),2014,0.9190037171870566
Argentina,BOLDT (~U$),2015,0.4050979448462456
Argentina,BOLDT (~U$),2016,0.5454021760059993
Argentina,BOLDT (~U$),2017,0.1217943189510772
Argentina,BOLDT (~U$),2018,0.2419352391814971
Argentina,BOLDT (~U$),2019,0.1871835991483037
Argentina,BOLDT (~U$),2020,0.6030095917153566
Argentina,BOLDT (~U$),2021,0.8786785914302425
Argentina,BOLDT (~U$),2022,0.0307894310973675
Argentina,BOLSAS Y MERCADOS ARGENTINOS (~U$),2017,0.1818395102508861
Argentina,BOLSAS Y MERCADOS ARGENTINOS (~U$),2018,0.0300796023704379
Argentina,BOLSAS Y MERCADOS ARGENTINOS (~U$),2019,0.0102340754806976
Argentina,BOLSAS Y MERCADOS ARGENTINOS (~U$),2020,0.1119344219779542
Argentina,BOLSAS Y MERCADOS ARGENTINOS (~U$),2021,0.3594121850264873
Argentina,BOLSAS Y MERCADOS ARGENTINOS (~U$),2022,0.0341227454652002
Argentina,CABLEVISION HOLDING B (~U$),2018,0.0146569975396089
Argentina,CABLEVISION HOLDING B (~U$),2019,0.0395647257108529
Argentina,CABLEVISION HOLDING B (~U$),2020,0.0957251047732561
Argentina,CABLEVISION HOLDING B (~U$),2021,0.2810326216946656
Argentina,CABLEVISION HOLDING B (~U$),2022,0.1449044017683151
Argentina,CAMUZZI GAS PAM 'B' (~U$),2001,0.1043304171286453
Argentina,CAMUZZI GAS PAM 'B' (~U$),2002,0.1205199756522875
Argentina,CAMUZZI GAS PAM 'B' (~U$),2003,0.3451158896939431
Argentina,CAMUZZI GAS PAM 'B' (~U$),2004,0.428245168370562
Argentina,CAMUZZI GAS PAM 'B' (~U$),2005,0.1946546804597042
Argentina,CAMUZZI GAS PAM 'B' (~U$),2006,0.2169556367277102
Argentina,CAMUZZI GAS PAM 'B' (~U$),2007,0.2256701399591228
Argentina,CAMUZZI GAS PAM 'B' (~U$),2008,0.933527498968941
Argentina,CAMUZZI GAS PAM 'B' (~U$),2009,0.7641145183733259
Argentina,CAMUZZI GAS PAM 'B' (~U$),2010,0.1257754419973503
Argentina,CAMUZZI GAS PAM 'B' (~U$),2011,0.8355222734241171
Argentina,CAMUZZI GAS PAM 'B' (~U$),2012,0.524150032679455
Argentina,CAMUZZI GAS PAM 'B' (~U$),2013,0.3268990884652284
