#NAME?,NIKKEI 225 STOCK AVERAGE - PRICE INDEX,MSCI JAPAN - PRICE INDEX,TOPIX - PRICE INDEX,MSCI HONG KONG - PRICE INDEX,S&P HONG KONG BMI - PRICE INDEX,HANG SENG - PRICE INDEX,KOREA SE KOSPI 200 - PRICE INDEX,MSCI KOREA - PRICE INDEX,KOREA SE COMPOSITE (KOSPI) - PRICE INDEX
7/27/1999,150,7.735,12.32,945.067,25.849,1684.6,0.09,0.185,0.77
7/28/1999,151.29,7.866,12.48,952.822,26.064,1692.98,0.09,0.189,0.79
7/29/1999,155.17,8.038,12.75,953.813,26.116,1690.05,0.1,0.199,0.83
7/30/1999,155.64,8.158,12.89,957.716,26.194,1698.96,0.1,0.192,0.81
8/2/1999,155.54,8.09,12.81,973.915,26.593,1730.88,0.1,0.19,0.8
8/3/1999,156.16,8.123,12.88,978.541,26.693,1735.83,0.1,0.194,0.81
8/4/1999,154.77,8.035,12.77,979.639,26.671,1750.85,0.1,0.194,0.81
8/5/1999,152.43,7.935,12.57,954.425,26.029,1707.48,0.09,0.187,0.78
8/6/1999,149.2,7.808,12.41,952.254,25.878,1696.16,0.09,0.185,0.78
8/9/1999,148.94,7.749,12.34,941.956,25.532,1667.62,0.09,0.187,0.79
8/10/1999,150.12,7.79,12.43,916.757,24.784,1622.7,0.1,0.193,0.81
8/11/1999,149.28,7.712,12.32,902.164,24.371,1602.31,0.09,0.187,0.79
8/12/1999,150.61,7.809,12.43,921.558,24.994,1646.22,0.09,0.187,0.79
8/13/1999,150.43,7.809,12.45,905.041,24.517,1624.05,0.09,0.18,0.76
8/16/1999,155.36,8.027,12.8,925.554,25.117,1660.9,0.09,0.18,0.75
8/17/1999,156.3,8.095,12.9,912.665,24.845,1646.51,0.09,0.174,0.72
8/18/1999,159.57,8.215,13.18,934.435,25.321,1673.62,0.09,0.174,0.72
8/19/1999,160.4,8.239,13.24,964.492,26.091,1726.4,0.09,0.174,0.73
8/20/1999,162.5,8.417,13.46,977.393,26.412,1747.37,0.09,0.176,0.73
8/23/1999,163.21,8.499,13.59,980.885,26.439,1748.26,0.09,0.185,0.77
8/24/1999,162.18,8.422,13.51,984.996,26.59,1756.01,0.09,0.188,0.78
8/25/1999,160.95,8.34,13.47,974.985,26.372,1736.14,0.1,0.198,0.81
8/26/1999,158.21,8.187,13.26,980.331,26.532,1752.64,0.1,0.198,0.81
8/27/1999,157.56,8.157,13.24,963.808,26.159,1723.64,0.1,0.2,0.81
8/30/1999,161.24,8.32,13.48,983.849,26.654,1762.89,0.1,0.196,0.8
