code,Year,D1
1004_54594,2000,0.23958202129645734
1004_54594,2003,0.07113313434667345
1004_54594,2004,0.11124845755584312
1004_54594,2005,0.2510381789330842
1004_54594,2006,0.5351809713610711
1004_54594,2008,0.0351669569575247
1004_54594,2009,0.01642927241276304
1004_54594,2010,0.046420182301545876
1004_54594,2011,0.17265599869057124
1004_54594,2014,0.9133540677136212
1004_54594,2015,0.41753965799134674
1004_54594,2016,0.2930505572423674
1004_54594,2017,0.4023866721600604
1004_54594,2020,0.026494131930965392
1004_54594,2021,0.11087562710131871
1004_54594,2022,0.08997489848245455
1013_50906,2000,0.07894243121321953
1013_50906,2003,0.1687839202070749
1013_50906,2004,0.9912302769068145
1013_50906,2005,0.5257161358617797
1013_50906,2006,0.310094725543705
1013_50906,2008,0.22306153781032345
1013_50906,2009,0.18782897218891104
1034_65832,2000,0.935368510871929
1034_65832,2003,0.016485914351003883
1034_65832,2004,0.731008284665847
1034_65832,2005,0.5314225696082092
1034_65832,2006,0.2656590288648212
1038_66413,2000,0.8795413018513726
1038_66413,2003,0.40665011818621444
1045_21020,2000,0.20766758461984258
1045_21020,2003,0.05038880033733639
1045_21020,2004,0.4829521410118285
1045_21020,2005,0.08476148797657002
1045_21020,2006,0.1620936064717199
1045_21020,2008,0.20124559743186998
1045_21020,2009,0.060254444949486397
1045_21020,2010,0.11200521909467565
1045_21020,2014,0.09103111028159894
1045_21020,2015,0.05775316093326699
1045_21020,2016,0.2933593668745138
1045_21020,2017,0.14613149940097114
1045_21020,2020,0.355012881213007
1045_21020,2021,0.2638614812816884
1045_21020,2022,0.16342494022413923
1050_11499,2000,0.6877948663326827
1050_11499,2003,0.8847439299705719
1050_11499,2004,0.8027301643258211
1050_11499,2005,0.7611022377021275
1050_11499,2006,0.9614637837360628
1050_11499,2008,0.1207563125013128
1050_11499,2009,0.2779285310474311
1050_11499,2010,0.7070187496280439
1050_11499,2011,0.13117190304220805
1050_11499,2014,0.1341696274434513
1050_11499,2015,0.18416851137259327
1050_11499,2016,0.5187623485523505
1050_11499,2017,0.4403769775506343
1050_11499,2020,0.20717158721733597
1050_11499,2021,0.6422770375671821
1050_11499,2022,0.12864261129193444
1056_62500,2000,0.2810010091902544
1056_62500,2003,0.11514071138427728
1056_62500,2004,0.27233638029004337
1056_62500,2005,0.5002586507600031
1056_62500,2006,0.7596184291955154
1062_26649,2000,0.9895533214490577
1062_26649,2003,0.9695188410133263
1062_26649,2004,0.36841195604159194
1062_26649,2005,0.19611217435944883
1062_26649,2006,0.7625988656984899
1062_26649,2008,0.2208237667671017
1062_26649,2009,0.06309009359557138
1062_26649,2010,0.057853328752656474
1062_26649,2011,0.12415671110683912
1062_26649,2014,0.9176544547395062
1062_26649,2015,0.31233611195368904
1062_26649,2016,0.9942003172836841
1062_26649,2017,0.17407327866725264
1062_26649,2020,0.11453223556785175
1062_26649,2021,0.3291166230138257
1062_26649,2022,0.3879774298942328
1072_81912,2000,0.10934358762219165
1072_81912,2003,0.13208570832423605
1072_81912,2004,0.07411822290128456
1072_81912,2005,0.10748393464640549
1072_81912,2006,0.06023019355929249
1072_81912,2008,0.019897106214574745
1072_81912,2009,0.04554086333862328
1072_81912,2010,0.22398610057800128
1072_81912,2011,0.06086578278328947
1072_81912,2014,0.13833324051343077
1072_81912,2015,0.1149121167621171
1072_81912,2016,0.13774757787751202
1072_81912,2017,0.12988860632633126
1075_27991,2000,0.9793886122712422
1075_27991,2003,0.32292799966147423
1075_27991,2004,0.5299171883454479
1075_27991,2005,0.3239322305579898
1075_27991,2006,0.5792969577377977
1075_27991,2008,0.08808918346862904
1075_27991,2009,0.11776708117875134
1075_27991,2010,0.11623115114206461
1075_27991,2011,0.20211800908007804
1075_27991,2014,0.3284427234388583
1075_27991,2015,0.9104082866591457
1075_27991,2016,0.5027187857330542
1075_27991,2017,0.8314842389621028
1075_27991,2020,0.7453424129621614
1075_27991,2021,0.4103126611963094
1075_27991,2022,0.10904296188631613
1076_10517,2000,0.6073117881385919
1076_10517,2003,0.9425057277938994
1076_10517,2004,0.7213736520120608
1076_10517,2005,0.6340625023268622
1076_10517,2006,0.559953488559245
1076_10517,2008,0.18161668192068114
1076_10517,2009,0.1637858119980733
1076_10517,2010,0.25219378223172095
1076_10517,2011,0.16359782155600788
1076_10517,2014,0.21071504363877902
1076_10517,2015,0.661636004595043
1076_10517,2016,0.5482152704290609
1076_10517,2017,0.15646353865824592
1076_10517,2020,0.39506765633176877
1076_10517,2021,0.2490276685083025
1076_10517,2022,0.5506677766625019
1076_78049,2000,0.5571550555460203
1076_78049,2003,0.6753741723004889
1076_78049,2004,0.4939364132019948
1076_78049,2005,0.3890066566432129
1076_78049,2006,0.6739596646999589
1076_78049,2008,0.08025119153606097
1076_78049,2009,0.25410660261684115
1078_20482,2000,0.8803432806181452
1078_20482,2003,0.20223083488288796
1078_20482,2004,0.25690210086753107
1078_20482,2005,0.6924677353910967
1078_20482,2006,0.46517996445634946
1078_20482,2008,0.2738508613196118
1078_20482,2009,0.28523068016737163
1078_20482,2010,0.12700700511255958
1078_20482,2011,0.06036723256566301
1078_20482,2014,0.03195149647551887
1078_20482,2015,0.061513191410699
1078_20482,2016,0.19792343590531025
1078_20482,2017,0.08144903187658181
1078_20482,2020,0.17409024196866096
1078_20482,2021,0.030838332500275012
1078_20482,2022,0.1274802182216892
1081_10560,2000,0.06576762194114771
1081_10560,2003,0.07056032072931862
1081_10560,2004,0.4468920453932973
1081_10560,2005,0.4773013706084275
1081_10560,2006,0.9352374696252027
1082_10568,2000,0.5312715241831405
1082_10568,2003,0.9323200470005387
1082_10568,2004,0.9792206366423061
1082_10568,2005,0.716699387004132
1082_10568,2006,0.4662896460490862
1082_10568,2008,0.6227154900603116
1082_10568,2009,0.7728689665765701
1082_10568,2010,0.862300930576954
1094_10656,2000,0.797515511415649
1094_10656,2003,0.8484432518056595
1094_10656,2004,0.5092118755713799
1094_10656,2005,0.45180312041405213
1094_10656,2006,0.43020306549792686
1094_10656,2008,0.10150994117537404
1094_10656,2009,0.05118993090945212
1094_10656,2010,0.05028818191207096
1094_10656,2011,0.0922955992956086
1094_10656,2014,0.48015707404332353
1094_10656,2015,0.32593051645798643
1094_10656,2016,0.08345919205585928
1094_10656,2017,0.18100033625879697
1095_10123,2000,0.552680983834525
1097_11647,2000,0.8672947203949348
1097_11647,2003,0.948571243014687
1104_60038,2000,0.8572790386468278
1104_60038,2003,0.8916297400839622
1104_60038,2004,0.3182281263989729
1104_60038,2005,0.5913906109476595
1104_60038,2006,0.9809632690823833
1104_60038,2008,0.3189605291287102
1104_60038,2009,0.6220569519593991
